,CVE_DOC,FECHA_DOC,NOMBRE_VENDEDOR,NOMBRE_CLIENTE,CANT,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
29,F37078,2022-01-07,ALFREDO CANELA,CLAVOS NACIONALES C.N,30,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,305.44,305.44,38979.6,9163.18,993.88,29816.42
31,F37086,2022-01-10,ALFREDO CANELA,CLAVOS NACIONALES C.N,30,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,305.44,305.44,38979.6,9163.18,993.88,29816.42
38,F37098,2022-01-12,DIEGO ARMANDO LEON DURAN,REDYPLAST,40,CBS00045,"CART INOX 3/8""Øx8"" 340W, 220V CABLE 35CM",259.6,64.85,64.85,10384.0,2594.17,194.75,7789.83
74,F37169,2022-01-21,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,30,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,275.5,275.5,44259.0,8264.95,1199.8,35994.05
76,F37174,2022-01-24,DIEGO ARMANDO LEON DURAN,NHK SPRING MEXICO,10,TUE00146,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,372.67,372.67,14500.0,3726.73,1077.33,10773.27
77,F37175,2022-01-24,DIEGO ARMANDO LEON DURAN,NHK SPRING MEXICO,6,BO00054,BOB 8020 CAL. 13 13.7MMØX1.5MTS GAZA30CM,1450.0,360.5,360.5,8700.0,2162.98,1089.5,6537.02
78,F37175,2022-01-24,DIEGO ARMANDO LEON DURAN,NHK SPRING MEXICO,6,BO00055,"BOB 8020 CAL.13 13.7MMØX800MM ""U""GAZ30CM",1450.0,337.97,337.97,8700.0,2027.79,1112.03,6672.21
79,F37178,2022-01-24,ALFREDO CANELA,CEREALES Y PASTAS,8,70001693,CARTUCHO 8MMØ X290MM 500W 220V,415.0,113.47,113.47,3320.0,907.73,301.53,2412.27
80,F37180,2022-01-24,ALFREDO CANELA,VINILOS,10,TP0004,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2.5 MT,272.0,77.13,77.13,2720.0,771.29,194.87,1948.71
81,F37184,2022-01-24,DIEGO ARMANDO LEON DURAN,SAEQRO,2,BE00010,BAN INOX 103MMØX45MMØX65MM 400W255V ESP,1025.87,0.0,115.58,2051.74,231.15,910.29,1820.59
82,F37184,2022-01-24,DIEGO ARMANDO LEON DURAN,SAEQRO,2,BL00011,BAN M/L INOX 210mmØx70mm 650W 255V CABLE,1587.25,0.0,165.19,3174.5,330.39,1422.06,2844.11
83,F37184,2022-01-24,DIEGO ARMANDO LEON DURAN,SAEQRO,2,BL00052,BAN M/LUNA 210MMØX70MM 1.6KW255V CLA-STD,2985.36,0.0,385.71,5970.72,771.42,2599.65,5199.3
204,F37443,2022-02-23,DIEGO ARMANDO LEON DURAN,NHK SPRING MEXICO,36,TUE00146,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,0.0,254.34,52200.0,9156.17,1195.66,43043.83
245,F37493,2022-02-28,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,30,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,339.43,339.43,44259.0,10182.84,1135.87,34076.16
374,F37736,2022-03-28,AARON NUÑO CORDOVA,COMERCIALIZADORA DE REPUESTOS INDUSTRIALES,25,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,150.0,0.0,88.63,3750.0,2215.69,61.37,1534.31
403,F37777,2022-03-31,ALFREDO CANELA,CLAVOS NACIONALES C.N,60,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,340.8,340.8,77959.2,20448.01,958.52,57511.19
410,F37803,2022-03-31,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,25,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,366.1,366.1,36882.5,9152.38,1109.2,27730.12
444,F37854,2022-04-07,ALFREDO CANELA,BOHN DE MEXICO,25,E1041959,"TUB INOX 1/4""ØX62"" 950W 230V",204.08,0.0,203.34,5101.91,5083.38,0.74,18.53
472,F37912,2022-04-13,ALFREDO CANELA,BOHN DE MEXICO,25,E1041968,"TUB INOX 1/4""ØX27"" 300W 230V",164.14,0.0,111.17,4103.6,2779.23,52.97,1324.37
533,F38047,2022-04-29,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,35,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,335.51,335.51,51635.5,11742.95,1139.79,39892.55
615,F38221,2022-05-24,LETICIA RAMIREZ HERNANDEZ,TERMOFORMATEC,60,CAS00080,CAS INOX 18.5MMØX205MM 950W 440V EXT30CM,1296.0,0.0,244.07,77760.0,14643.92,1051.93,63116.08
625,F38241,2022-05-26,LETICIA RAMIREZ HERNANDEZ,NORTHWEST AUTOMATIZACION,28,TP0022,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT,862.35,0.0,335.46,24145.8,9392.95,526.89,14752.85
654,F38312,2022-06-03,ALFREDO CANELA,NHK SPRING MEXICO,36,TUE00146,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,266.04,266.04,52200.0,9577.26,1183.97,42622.74
666,F38344,2022-06-09,ALFREDO CANELA,CLAVOS NACIONALES C.N,30,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,378.12,378.12,38979.6,11343.64,921.2,27635.96
